,question,answer,ref,doc_id,dial_id
25,Can you help me with how to avoid the lapse of my insurance?,DMV is always in contact with insurance companies to electronically monitor your insurance coverage and comply with the New York State requirements.,"[{'sp_id': '24', 'label': 'solution'}, {'sp_id': '25', 'label': 'solution'}, {'sp_id': '26', 'label': 'solution'}]",Top 5 DMV Mistakes and How to Avoid Them#3_0,15aa88cc47d6c698af75ce5a00cc7c04
3683,Can you please explain the MyDMV website to me? I just signed in and I have some questions about it.,Of course. Have you been redirected to the 'Welcome to MyDMV' page ?,"[{'sp_id': '2', 'label': 'precondition'}]",Signing in to MyDMV#1_0,5d1d69365f2577a554f268daccdc8a40
2472,Can I request an in-person hearing with the DMV?,you may request an in - person DMV hearing or you may request a hearing by affidavit this is a hearing on paper . The Notice of Registration Suspension provides instructions about how to submit the affidavit to DMV ,"[{'sp_id': '20', 'label': 'solution'}, {'sp_id': '21', 'label': 'solution'}]",Registration suspensions for failure to pay tolls#3_0,789487b93de1c68dd94b84e377d8451a
3351,And what if I already had personalized plates?,"If you had custom license plates or custom license plates, your new registration documents will list your license plate numbers. The DMV will mail you new personalized or personalized plates for new passengers.","[{'sp_id': '45', 'label': 'solution'}, {'sp_id': '46', 'label': 'solution'}]",Register a pick-up truck as 'passenger' class vehicles#1_0,8299bfaed5aab6383c40b83f5d0ac9c0
173,And for the use tax for counties outside of New York City?,You can see the use taxes and supplemental fees for all original registrations and renewals on the chart. The sales tax depends on the purchase price and your locality. You can go to the Department of Taxation and Finance website to see the current sales tax rates per jurisdiction.,"[{'sp_id': '35', 'label': 'solution'}, {'sp_id': '36', 'label': 'solution'}, {'sp_id': '37', 'label': 'solution'}]","Commercial vehicle registration fees, vehicle use taxes and supplemental fees#3_0",2584ea78406f561ad23b66abcd9a7cee
1652,What are the renewal fees for CDLs? ,The fees for the photo document and the supplemental Metropolitan Commuter Transportation District are the basic fees.  There could possibly be additional fees. ,"[{'sp_id': '39', 'label': 'solution'}]",Renew a CDL#1_0,04ecd94d385a3b4759567a9aa0100e81
3199,"By the way, do I need to include buyer and seller information with the title?","Yes. The title must have completed buyer and seller information, both the leasing company and the buyer must provide their signatures, dates of transfer, and addresses.","[{'sp_id': '10', 'label': 'solution'}, {'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}]",Change name on title after lease buyout#3_0,24e713d8f7e5b795a41d7a28891ca33d
332,Is it okay to cross a crosswalk during my road test?,"No, you must stop before crossing the crosswalk.","[{'sp_id': '74', 'label': 'solution'}]",Prepare for your road test#3_0,5f9713af315a62eb0eccf869a20913c1
2305,"Yes, I really would like to open an inspection station.",Then you may be subject to Public Emissions Inspection State Cap and you should read the information about it before you apply.,"[{'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",Open an inspection station#1_0,667c0872e37251b024e118a63e5d4a29
432,What documentation do I need if I am registering for  business or organization?,You must bring proof of incorporation of the business or organization with you,"[{'sp_id': '38', 'label': 'solution'}]",Register a vehicle I bought at a sheriff or marshal auction#3_0,b46ae2e9e87567feb59441ee1d3df031
3423,"Hello, I would like to know the Terms of Service of the MyDMV account",can I give you an INTRODUCTION of those terms,"[{'sp_id': '2', 'label': 'solution'}]",MyDMV Account Terms of Service#1_0,97219b15f78feb27bc5710f8d05cc2c0
2120,I need the know how on how to get a personalized plate,Would you like to order a personalized plate?,"[{'sp_id': '2', 'label': 'precondition'}]",Order personalized plates#1_0,59b46ed20c49974ccf74c5281aa9e2ff
3387,is all I need to know about how to register the car?,yes follow the recommendations,"[{'sp_id': '18', 'label': 'solution'}, {'sp_id': '19', 'label': 'solution'}, {'sp_id': '20', 'label': 'solution'}]",Vehicle modifications and registration class#3_0,c71816b26e57605e94ac160bf29ba72f
3766,yes, You do not need to update your voter registration information any of the information below changed since you last voted,"[{'sp_id': '10', 'label': 'solution'}, {'sp_id': '11', 'label': 'solution'}, {'sp_id': '12', 'label': 'solution'}]",Voter Registration Application Frequently Asked Questions#1_0,e79d6805f012846e90c7210dbe641d74
482,What forms of payment would be accepted if I went to the DMV? ,"If you went to the DMV, you could pay by check or money order or you could pay using an American Express card, Discover card, MasterCard, MasterCard debit card, VISA Card, or Visa debit card. ","[{'sp_id': '78', 'label': 'solution'}]",Replace license or permit#1_0,0900dc4d8dd22fea23ddc5a84b0dfcb8
731,What If I don't have one of these required documents?,You must provide other kinds of proof of both identity and age.,"[{'sp_id': '34', 'label': 'solution'}]",Register a moped#1_0,d0fa6ca005385a63f9a479bc2e5e5865
1620,Yes,"If you want to register your vehicle in another state, you must deliver your vehicle registration and license plates to the New York DMV","[{'sp_id': '3', 'label': 'solution'}]",Moving out of New York State#3_0,e24a6a060942ea9e6942ba136d1243a1
2797,I have one and don't know where the other one is,"You need to send in the plate and your old cab card within 30 days after you receive your new apportioned plates. Failure to return your license plates can result in suspension of your IRB account. The IRB will issue new apportioned plates that have a different number, along with a new matching cab card.","[{'sp_id': '48', 'label': 'solution'}, {'sp_id': '49', 'label': 'solution'}, {'sp_id': '50', 'label': 'solution'}]",Replace IRP registration items#1_0,df9a64ed60ea5fc9c00e360f2ed9567c
1924,I'm here because of the graduated license law,"Okay, in addition to the learner permit restrictions that apply to everyone, the Graduated License Law places restrictions on drivers under 18 years of age who have a junior learner permit or junior driver license.   ","[{'sp_id': '2', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}]",The Graduated License Law and Restrictions for Drivers under 18#1_0,a1889cf09444e1af0f8a11d149d7c6ea
4037,"Hello there, I have some questions that I need you to answer for me.",Of course. Do you have questions about the course?,"[{'sp_id': '10', 'label': 'precondition'}]",Point & Insurance Reduction Program#3_0,e840c3f90dd460ffe59b146cefa5d168
1440,how do i add a user?,to get an additional user ID. does this apply to you?,"[{'sp_id': '8', 'label': 'precondition'}]",Adding and removing users#3_0,bca936877740e89dd9afbc414fc7d74f
3966,What happens if I don't pay the assessment?,"Your driver license may be suspended if you don't pay, but it will be removed once your payment is processed.","[{'sp_id': '44', 'label': 'solution'}]",Pay driver responsibility assessment#1_0,27f5627eeda73f6df25a5df6a900de6a
3057,and what is the cost of the plates?,Our image and our professional dishes have a variety of prices. You can explore the styles available using the categories above to find detailed pricing information on the plate that interests you.,"[{'sp_id': '17', 'label': 'solution'}, {'sp_id': '18', 'label': 'solution'}]",Learn about picture and professional plates#3_0,045f26ea15024fdeff055e3348d2760b
3284,"Hello there. Can you walk me through the process of ordering picture plates, please?","Of course. You can order picture or professional plates for passenger vehicles, commercial vehicles and motorcycles.","[{'sp_id': '2', 'label': 'solution'}]",Order picture and professional plates#1_0,338eaf55469ceca6698d471aa9c36565
325,How long it lasts the pre-licensing course certificate?,"The pre-licensing course certificate lasts for 1 year from the date it is issued, and the student certificate of completion lasts for two years.","[{'sp_id': '29', 'label': 'solution'}, {'sp_id': '30', 'label': 'solution'}]",Prepare for your road test#3_0,b18f218bec7f459425cc40aa3da772a3
1893,how can a hearing end if it comes to that?,"There may be no action, a warning, the imposition of a suspension, revocation, and/or civil penalties.","[{'sp_id': '38', 'label': 'solution'}, {'sp_id': '39', 'label': 'solution'}]",About complaints and charges for dealer and transporter businesses#3_0,2694371df1bba15175a569003a9253d7
1421,Do diesel vehicles need inspecting?,"Yes, non-exempt diesel vehicles need to be inspected.","[{'sp_id': '1', 'label': 'solution'}, {'sp_id': '2', 'label': 'solution'}]",Diesel inspections emission testing#3_0,97809b3e4c67e77693a6fb0b7b14e407
471,"Wow, is good to know that. Oh, what about if  i get robbed my license, can i get a replacement?","Well, in fact you can get a free replacement. You must go to a police agency, and ask for the form MV-78B. I must remark that you will only get that form from police, not from DMV.","[{'sp_id': '122', 'label': 'solution'}, {'sp_id': '123', 'label': 'solution'}]",Replace license or permit#1_0,685918a1530308ea365fd317166febcc
564,"If I apply for a replacement title certificate at the DMV office, can they issue the certificate to me there and then?","You cannot get the replacement title certificate issued to you in the DMV office, all replacement certificates are printed in a secure facility and are mailed to the owners. The quickest and easiest way to apply for a replacement certificate is to apply online","[{'sp_id': '64', 'label': 'solution'}, {'sp_id': '65', 'label': 'solution'}, {'sp_id': '67', 'label': 'solution'}]",Replace a title certificate#1_0,79b9162e7b53473de410b74cd342aae2
1913,"And while we're at it, can you tell me what the difference between a junior learner permit and a junior driver license is?",Of course. A junior learner permit allows a young driver to drive only while supervised.,"[{'sp_id': '16', 'label': 'solution'}]",The Graduated License Law and Restrictions for Drivers under 18#1_0,fccbf2ef00974a100cb6eab6c84bbd58
2110,I'm interested in personalized plates.,Would you like to know about personalized plates?,"[{'sp_id': '2', 'label': 'precondition'}]",Order personalized plates#1_0,a0c56bd43e56587ffcea8d8aed234463
1125,How do I know if I have a non scofflaws?,you can find  The type of sanction imposed suspension or revocation which results from reasons other than failure to answer a summons or pay a fine / surcharge / assessment,"[{'sp_id': '88', 'label': 'solution'}, {'sp_id': '89', 'label': 'solution'}, {'sp_id': '90', 'label': 'solution'}]",Lifetime driving records#3_0,2e3fc5b66f4263c072e9ac93bdacc7ca
2178,how are the written tests, study the NY State Driver 's Manual and take the practice tests,"[{'sp_id': '7', 'label': 'solution'}]",Get a learner permit#1_0,21be972b2011a7078f450d549d48e89b
2410,What should the owner do with the application?,The owner should mail the application.,"[{'sp_id': '48', 'label': 'solution'}]",Become a driving school instructor#3_0,247a7075c9287d73935aee56811a94bd
1112,What about my driving license abstract?,"A standard ones should only contains information that is still required to keep by the DMV. Meanwhile, only 4 years records of most recent suspensions and revocations are shown on a standard driving record abstract.","[{'sp_id': '7', 'label': 'solution'}]",Lifetime driving records#3_0,a4967881b1078c52fd0c47ec3b4f4d7a
1263,What do I do if I also have an Inspectation Station License?,please see Inspection Station Cap Information,"[{'sp_id': '21', 'label': 'solution'}]",Amend or replace a business license for a repair or body shop#3_0,f249e2db0fda7508c6330e92b36b1b64
61,I need to contact DMV about my dial-in search account,"Our contact address for that is NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228 473 - 2137e - mail","[{'sp_id': '68', 'label': 'solution'}]",DIAL-IN search accounts#3_0,6ad62ea7a0a74030c0df7cd5be594e1f
3434,"If the ATV is transferred by an individual, can it?","If the ATV is transferred by a private person, acceptable proof of ownership is a New York State or out-of-state transferable certificate of registration or title signed by the previous owner to transfer the property to which","[{'sp_id': '52', 'label': 'solution'}]",Register an ATV#1_0,b8f630b202df583d55ec965d6f503ff6
3829,What additional requirements are required?,Do you need to know what additional requirements there are to apply for a new license after revocation?,"[{'sp_id': '165', 'label': 'precondition'}]",Restore license after revocation#1_0,d7a9a49fa32d48bebe977a09b52af78e
2187,What should I do to prepare to take the written permission test?,study the New York State Driver's Manual and take the practice tests,"[{'sp_id': '7', 'label': 'solution'}]",Get a learner permit#1_0,25fe12530d20af8f63f19017336e8e39
254,"My ID card is an Enhanced non-driver ID, is the cost the same?",the additional 30$ still applies to the renewal.,"[{'sp_id': '54', 'label': 'solution'}]",Renew non-driver ID card#1_0,5d4478f731608602dfaaf504a2177c75
3578,"Alright, I get that. What about visitors from other countries?",Do you have a driver license from another nation?,"[{'sp_id': '44', 'label': 'precondition'}]",Driving in New York State#3_0,c2327565d2af47c42b1fda5fee01e2d6
2946,not,was the rape related to alcohol and drugs?,"[{'sp_id': '7', 'label': 'precondition'}]",Tickets received in another state#3_0,29c606f9451cca3af0006d890a09c7fe
3221,so if I sign up and my license is going to expire in the next week you will let me know I should get a new one?,"If your driver license is about to expire when you sign up, you may not get electronic reminders until the next time it is due. ","[{'sp_id': '10', 'label': 'solution'}]",Get email and/or text reminders#1_0,497f228917e0263a67c5d293ff9c8bad
2654,"What type of discharge form do I need if discharged before January 1, 1950?","You would need an Honorable Discharge form WD AGO 53, 55, 53-55, or NAVPERS 553, or NAVMC 78PD or NAVCG553, or Enlisted Seperation Paper.","[{'sp_id': '14', 'label': 'solution'}, {'sp_id': '15', 'label': 'solution'}]",Veteran status designation on a photo document#3_0,fc22824ae3a98729dd985fbc4023ef26
3433,Yes,"If you purchase the ATV from an out-of-the-state ATV dealer, acceptable proof of ownership may include a manufacturer's Certificate of Origin or a manufacturer's Declaration of Origin, and the dealer's bill of sale.","[{'sp_id': '35', 'label': 'solution'}, {'sp_id': '36', 'label': 'solution'}, {'sp_id': '37', 'label': 'solution'}]",Register an ATV#1_0,b8f630b202df583d55ec965d6f503ff6
3841,Alright. I can do this by mail?,Yes. You can order your vehicle or tittle record abstracts by mail using the request for DMV records mv-15.,"[{'sp_id': '26', 'label': 'solution'}]",Get a vehicle registration or title record (abstract)#1_0,6fb0f51b4e3990e92105dedeaeb0d83c
2686,can you give me information about the Fees for a learner's permit and driver's license," The fee for your first New York State driver license or permit , or a new license or permit after a revocation , depends on your age when you apply and where you live","[{'sp_id': '2', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}]",Driver license and learner permit fees and refunds#3_0,1c1bcbb845fce506e23c41edda7dcefe
1484,And where can I see the other penalities if I was convicted under Leandra's Law,You may Google or or look in this reference for Leandra's Law,"[{'sp_id': '11', 'label': 'solution'}]",Leandra's Law & ignition interlock devices#3_0,3c09c725fe31191dbbb462bb9f8baf4a
67,What about if I didn't perform the search I'm asked about?,"If you or any of the known users performed the search, you should contact us immediately. You have to respond to our inquiry about the dial-in search or your search privileges will be suspended until you respond.","[{'sp_id': '56', 'label': 'solution'}, {'sp_id': '57', 'label': 'solution'}]",DIAL-IN search accounts#3_0,f37f2bd7ba6325cd54b73559e0989b89
2837,How do I set up a hearing?,"First you will need to enter your ticket number and other required information online. Then,  verify that information.","[{'sp_id': '79', 'label': 'solution'}, {'sp_id': '80', 'label': 'solution'}, {'sp_id': '81', 'label': 'solution'}]",Plead to or pay TVB tickets#1_0,f5e88c9001cf3395e338c555652d283b
1072,How do I go about getting customized plates?,"The I LOVE NY Adventure Custom Plates viewable here [ 2 ] are available to individuals that hold a currently valid NYS Department of Environmental Conservation DEC issued Sporting License and/or a NYS Office of Parks , Recreation and Historic Preservation Parks issued Empire Passport .","[{'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",NYS Adventure License and Adventure Custom Plates#3_0,1fc95b41fa1b8e1fc4ef6d5163d82efb
221,"I lost my plate, what should I do?",You have to report your lost plate and surrender the registration to the DMV. The DMV will issue you a new registration and plate.,"[{'sp_id': '61', 'label': 'solution'}, {'sp_id': '62', 'label': 'solution'}]",Surrender (return or turn in) your plates to the DMV#3_0,7b12a88d3fefc83153d143495691f35b
2930,"No, nothing like that.","It was alcohol or drug related, then?","[{'sp_id': '7', 'label': 'precondition'}]",Tickets received in another state#3_0,e3a3d5fbdb896d22f5530a70e5d194ca
2523,What else will the DMV suspend?,The DMV will also suspend all vehicle registrations of a company and the privilege to register another vehicle.,"[{'sp_id': '19', 'label': 'solution'}, {'sp_id': '20', 'label': 'solution'}, {'sp_id': '21', 'label': 'solution'}]",Unsatisfied Judgments#3_0,9e5142fc595753f231020cf7eb593a25
3097,Yes,"If you fail the written test or background checks, the DMV will issue a CDL that does not have a HazMat endorsement.","[{'sp_id': '53', 'label': 'solution'}]",Get a  hazardous materials (HazMat) endorsement#3_0,29a6a2792329ee6a4c2b6844fd959fd0
2790,"Hello, there are a few things I need to know about replacing IRP registration items. Can you help me out?",Of course. Do you wish to replace IRP registration items that are lost or stolen?,"[{'sp_id': '2', 'label': 'precondition'}]",Replace IRP registration items#1_0,07a5de27fc538162f626df4d8d10a765
2949,I need more information, your New York State driver license will be revoked for at least 90 days . Out - of - state drivers ticketed in New York State should contact the Motor Vehicle Department of their own state or province about the effect of a conviction in New York State,"[{'sp_id': '10', 'label': 'solution'}, {'sp_id': '11', 'label': 'solution'}]",Tickets received in another state#3_0,29c606f9451cca3af0006d890a09c7fe
88,How can I verify my browser compatibility?,You can verify your browser compatibility by visiting https://encryption.ny.gov/,"[{'sp_id': '72', 'label': 'solution'}]",DIAL-IN search accounts#3_0,47871f98e5844e0624fb4a9322c3ddf9
1561,How do I get an insurance premium reduction?,The course sponsor will mail you a completion certificate within 45 business days after you complete the classroom course or 14 business days after you complete an online course ,"[{'sp_id': '3', 'label': 'solution'}]",How insurance premium reduction works#3_0,7909cf7fa6d150206f8f07a1cea52732
1122,What if it is for out of state roccorunces?,"It may be different for each state or county, the court s address and phone number are recorded as provided by the issuing jurisdiction","[{'sp_id': '87', 'label': 'solution'}]",Lifetime driving records#3_0,2e3fc5b66f4263c072e9ac93bdacc7ca
3344,what do I bring with me to the DMV when I register?,You should have your completed registration application and any additional documents that you will need,"[{'sp_id': '68', 'label': 'solution'}]",Register a pick-up truck as 'passenger' class vehicles#1_0,ccacb093e1465617bcd07ccabbb15498
2963,Yes,"For a Class D, DJ Class, and Class E driver's license, the expiration date of your learner's permit becomes the expiration date of your driver's license. Together, the learner's permit and driver's license are valid for a maximum of 5 years.","[{'sp_id': '81', 'label': 'solution'}, {'sp_id': '82', 'label': 'solution'}]",Get a driver license#1_0,cdc220538442a011edcd39f4bb1849a2
3483,not,committed the violation In another part of the state of New York?,"[{'sp_id': '45', 'label': 'precondition'}]",Tickets received in New York City#3_0,edd3de6d29573be97ed56d9afa002316
1705,"No, I already know about that.",Do you know what the fees are for obtaining a CDL?,"[{'sp_id': '77', 'label': 'precondition'}]",Get a CDL#1_0,2432ab37126e6971ceb2949c99bf4f13
2259,not,Do you want to know what a commercial driving record is?,"[{'sp_id': '12', 'label': 'precondition'}]",How to get my own driving record (abstract)#1_0,a59f84de19fe8eb35eb62c53bbdaa3bb
4089,yea,You might need to register the car under certain situations,"[{'sp_id': '3', 'label': 'solution'}]",Register an out-of-state vehicle#1_0,e464982f16d71b91625b299b2db82b0c
3347,Hello I need information about how to register a van as 'passenger' class vehicles,Do you want to know if you can register your van as a 'passenger' class vehicle?,"[{'sp_id': '2', 'label': 'precondition'}]",Register a pick-up truck as 'passenger' class vehicles#1_0,8299bfaed5aab6383c40b83f5d0ac9c0
438,"Not at the moment, I'm only querying this currently",Are you a resident of the United States?,"[{'sp_id': '60', 'label': 'precondition'}]",Register a vehicle I bought at a sheriff or marshal auction#3_0,fbf0a40b2a536e2b57b83dfa9bd0e907
3602,What are the insurance requirements for a TNC driver?,TNC companies will make sure TNC drivers understand and have the required insurance,"[{'sp_id': '20', 'label': 'solution'}]",FAQ for TNC Drivers#3_0,05d46e411a1b32505d3f90220f80b15e
3769,What happens to my voter registration application?,"The electronic voter registration application is transferred from DMV to your County or City Board of Elections for review . Once processed , your County will notify you either that you are registered to vote or additional information is needed to complete your application .","[{'sp_id': '41', 'label': 'solution'}, {'sp_id': '42', 'label': 'solution'}, {'sp_id': '43', 'label': 'solution'}]",Voter Registration Application Frequently Asked Questions#1_0,e79d6805f012846e90c7210dbe641d74
1920,can I get a motorcycle license if I'm not 18 yet?,Are you 17?,"[{'sp_id': '36', 'label': 'precondition'}]",The Graduated License Law and Restrictions for Drivers under 18#1_0,bacf4823f1b248dd0b87edc959d68914
2268,"And if I request the summary in an office or in the mail, is there a difference?","There is no difference between an abstract that you request online, in an office, or by mail. They are certified DMV records. All include a certification statement and the signature of the Commissioner of Motor Vehicles, as well as the same safety watermark.","[{'sp_id': '7', 'label': 'solution'}, {'sp_id': '8', 'label': 'solution'}, {'sp_id': '9', 'label': 'solution'}]",How to get my own driving record (abstract)#1_0,d0093094b9627744a6368d9992dc6acd
3132,What are my rights if a complaint or other DMV charges have been filed against you?,"Do you want to protect your installation license, registration or certification?","[{'sp_id': '2', 'label': 'precondition'}]",A Guide for Facilities:#3_0,09560ca2496931240659cc20460797fe
4112,Are proofs of ownership needed to register and title different types of vehicles different? ,"Yes, the proofs of ownership needed to register and title a vehicle in New York are different for different types of vehicles for example cars, trailers, boats, snowmobiles, manufactured homes. ","[{'sp_id': '16', 'label': 'solution'}, {'sp_id': '17', 'label': 'solution'}, {'sp_id': '18', 'label': 'solution'}]",Buy or sell a vehicle (transfer ownership)#3_0,1cc37c01d21e812f09e41cf072edb432
3607,What insurance do I need to be a TNC driver?,TNC companies will make sure you as a driver understand and have the required insurance.,"[{'sp_id': '20', 'label': 'solution'}]",FAQ for TNC Drivers#3_0,4d9b46aea4f377f871c31bf8a9c504cd
1289,"Hi, Can you help me. I want to change my body shop adress.",Hi. Just body shop or is repair shop included?,"[{'sp_id': '2', 'label': 'precondition'}]",Amend or replace a business license for a repair or body shop#3_0,2b132c9f308ca2a1f259173c265c8a00
1649,Where can I renew my CDL? ,"You must renew at a DMV office, but it will not be accepted as proof of identification to board a domestic flight after October first. ","[{'sp_id': '2', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}]",Renew a CDL#1_0,04ecd94d385a3b4759567a9aa0100e81
2773,How do I go about transferring my IRP registration?,Do you need to transfer an IRP registration and apportioned plates?,"[{'sp_id': '2', 'label': 'precondition'}]",Transfer IRP registration#1_0,f406c620243c6ce109e6889e92482891
3615,What types of trips are TNC licensed through the DMV?,TNC companies are licensed by the DMV to use a digital network to connect passengers to the drivers for prearranged trips.,"[{'sp_id': '2', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}]",FAQ for TNC Drivers#3_0,72c4ee172de0a720f11f5072689ce200
2656,"Hello, I would like to know if I must submit proof of an honorable discharge to submit an application?",want to know what the acceptable tests are?,"[{'sp_id': '8', 'label': 'solution'}, {'sp_id': '9', 'label': 'solution'}, {'sp_id': '10', 'label': 'solution'}]",Veteran status designation on a photo document#3_0,a9df90d69cc427070dac0569cbe4345f
1981,yes i have tried,"ok You can check the status of vehicle titles and liens online. but Sorry, the service is not available for boat titles.","[{'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}, {'sp_id': '5', 'label': 'solution'}]",How to check a title or lien status#1_0,0fe90f7578cc64f44c8146988248aeb4
283,"I have my unused registration sticker and stop and I got a refund for the second year of registration, can I get a refund for the first year?","Yes, you may be eligible to apply for the first year of the registration fee refund. You have a maximum 60 days after the date you got issued the registration to apply for the first year of the registration fee refund.","[{'sp_id': '43', 'label': 'solution'}, {'sp_id': '44', 'label': 'solution'}]",Refunds and transfer credits for surrendered plates#3_0,c2b8b4fca30feff00484c7a9ea4ed9bd
715,I submitted a phone number with my request. Can i expect to be contacted in that way?,"Yes. The FOIL office surely will use that phone number to contact and notify you when your records are ready for you to be inspected. If you didn't submit a phone, then you'll be notified by mail.","[{'sp_id': '85', 'label': 'solution'}, {'sp_id': '86', 'label': 'solution'}]",File a Freedom of Information Law (FOIL) request#1_0,d2908dd17d8b2481255018dc6ce82b0c
274,"My registration sticker is attached to the vehicle windshield, is that a problem?","yes, you can't remove the sticker and can't apply for a full refund.","[{'sp_id': '35', 'label': 'solution'}]",Refunds and transfer credits for surrendered plates#3_0,41a11c14de12ae9709478489aa6de7ae
2977,not,you want to know about drivers from other countries,"[{'sp_id': '93', 'label': 'precondition'}]",Get a driver license#1_0,f541bf9f71fa4894b0b7b736e5a525e7
2289,"no, you're a chat bot right....I need my driving record for a job!!!",Would you like to know more about getting your standard driving record online?,"[{'sp_id': '15', 'label': 'precondition'}]",How to get my own driving record (abstract)#1_0,2953228e86d7782e5d5d1bf885961e38
624,No,what are the fees. does this apply to you?,"[{'sp_id': '37', 'label': 'precondition'}]",Escort driver certification#1_0,de96f5c9acd6e77e55ee1bfb548ab973
3684,I am having problems signing in to MYDMV.,Are you being redirected to the Welcome to MyDMV page?,"[{'sp_id': '2', 'label': 'precondition'}]",Signing in to MyDMV#1_0,5d15657f8a02f2557e36174aaaa5cc2a
1306,can I cross a highway with my ATV?,That is not recommended by the DMV unleast is absolutely necessary. If you have to cross a highway you must do it at an approximate angle of 90 degrees at a place free from obstructions to ensure a safe and quick crossing.,"[{'sp_id': '115', 'label': 'solution'}, {'sp_id': '117', 'label': 'solution'}, {'sp_id': '118', 'label': 'solution'}]",ATVs: Information for Owners and Operators#3_0,73e304f51b3e154385ba9d0d2c4117f4
1749,Yes I would like some information about changing my out of state driver's license.,Yes we have that information. You must do so within 30 days of becoming a resident of New York.,"[{'sp_id': '2', 'label': 'solution'}]",Exchange your out-of-state driver license#1_0,34ea29343cfb44d1b1817867491406a9
1746,How do I do if my children attend school in another state?," a judge considers these facts to decide if your intent is to make NYS a "" fixed and permanent "" residence . According to this law , students from other states or from other nations who attend school in New York State are usually not considered residents of NYS .","[{'sp_id': '67', 'label': 'solution'}, {'sp_id': '68', 'label': 'solution'}, {'sp_id': '69', 'label': 'solution'}]",Exchange your out-of-state driver license#1_0,e6e874c70b276a50611ed7a5f0e57b7a
2600,About how much time does it take to get my new photo document with the icons?,Did you paid the fee to request the icons be added the photo document immediately?,"[{'sp_id': '40', 'label': 'precondition'}]",NY State Adventure License FAQs#3_0,4b935a0c9b1c8a43756d7cc6a33f9a86
1200,What form do I need to get back surrendered plates?,Bring Application for Registration or Title pdf MV-82 to a DMV office.,"[{'sp_id': '20', 'label': 'solution'}, {'sp_id': '21', 'label': 'solution'}, {'sp_id': '22', 'label': 'solution'}]",Temporary surrender of vehicle plates (store plates for a season)#3_0,74440be86738af703c2e97c622dd0efa
3573,Hi there. I was looking information related to which persons can drive in the in the state of new york.,Do you want to drive a car or a motorcycle?,"[{'sp_id': '2', 'label': 'precondition'}]",Driving in New York State#3_0,74161c0c6159b6f6883c4d530e3eae61
