question,answer,model_answer,attribution
Can you keep me up to date with my insurance so it doesn't lapse?,"The New York State requires every motorist to maintain auto insurance always that a vehicle is registered, due to that, DMV works with insurance companies to monitor your insurance coverage and keep you informed.",Yes,
How would you contact me about any insurance problem?,After knowing about the problem we will send you a mail with an insurance inquiry letter to allow you to solve the problem.,DMV,"DMV works with insurance companies to electronically monitor your insurance coverage , and we know when coverage is dropped for any reason."
tell me about the cost of traffic points.,the charge you get from DMV is based on how many points you have accumulated.,cost of traffic points,Understanding how Much Traffic Points Cost
tell me about the documentation I should bring when going to a DMV office.,"Since many of our customers tend to forget some document or requirement for their transactions, we recommend that you go first to our website to see if you can do your transaction online, that way you can avoid any hassle from going to the DMV Office.",not bringing proper documentation,Not Bringing Proper Documentation to DMV Office
Would there be a problem if I leave the state without notifying DMV?,"You should resolve any pending problem you have here before moving to another state, if you not, you could not get a new license in your new home state.",Yes,Leaving the State Without Notifying DMV
Tell me about what can I do to not let my insurance lapse.,"Since we work with the insurance company to make sure that all the vehicles maintain their insurances properly and according to the New York State requirements, we sill inform you of any problems with your insurance coverage. ",Turn in your plates,"Also , turning in your plates is important to avoid an insurance lapse."
What if I cancel my insurance policy?,you have to turn in your vehicle's license plates at DMV.,I will be suspended,Insurance policies must be from a company licensed in New York State.
"I more often than not tend to forget one or some of the documents needed for my transaction at the DMV Office, please tell me, is there another way to do my DMV transactions?","Yes, before going to the DMV office you should check our website to see if you can do your transaction online.",online,"Better yet , don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing"
Can I just write my new address in the back of my license if I haven't updated my address at the DMV?,"No, by statute, you must update your address at the DMV whenever you move from your registered address. It's not enough to just write the new address in the back of your license, or inform an officer when getting a ticket, or tell the United States Postal Service.",No,
How will you contact me about a problem with my insurance?,"When we detect any problem with your insurance, we'll mail you an insurance inquiry letter to let you resolve the problem.",You can call them at (212) 573-5318,Make sure you turn in your vehicle s license plates at DMV before you cancel your insurance policy.
Can you help me with how to avoid the lapse of my insurance?,DMV is always in contact with insurance companies to electronically monitor your insurance coverage and comply with the New York State requirements.,"Yes, I would like to turn in my plates.","Also , turning in your plates is important to avoid an insurance lapse."
Can I just notify the United States Postal Service about a change of address or do I have to update this info with the DMV too?,You have to keep your address up to date in the DMV. It is not enough to inform the US Postal Service.,Yes,
Tell me about the mistake of not bringing the proper documentation to a DMV office.,"Around 10% of our customers that visit a DMV office, forget to bring all of the requirements for their transactions. Before going to a DMV Office you should see if your transaction can be performed online, like an address change, registration renewal, and more. This way you can avoid going to a DMV Office.",The DMV office is not a good place to bring the documents.,Not Bringing Proper Documentation to DMV Office
what could happen in case I don't update my address in the DMV?,"first, is not enough to update your address with a third party, you should keep your address updated in the DMV, if not, you could miss a suspension order and may be charged with operating an unregistered vehicle.",suspension order,"If you fail to keep your address current , you will miss a suspension order and may be"
Tell me about the costs of traffic points.,the cost of the charge you can get from the DMV due to a traffic violation varies according your accumulated traffic points.,The cost of traffic points is the cost of the traffic ticket.,Understanding how Much Traffic Points Cost
What else could happen if I don't update my address with you guys?.,You won't learn about any insurance problem and we'll suspend your registration and license.,I will be charged for the wrong address,Forgetting to Update Address
Is it that important to update my address at the DMV?,"By statute, you must always report any change of address to the DMV within 10 days of moving. This applies for the address associated with your license and all addresses associated with your registered vehicles.",Yes,
Do I have only 10 days to report a change of address?,"Yes, this is required by law. You have to report your new address within ten days of moving.",Yes,
How often do you send inquiry letters?,We send about 500.000 inquiry letters per year.,"500,000","We send 500,000 inquiry letters a year."
I want to know about the traffic points cost.,The points is the system used for the DMV to keep track of dangerous drivers. The amount you pay from a DMV charge for a traffic ticket depends on the number of accumulated points.,How much does it cost to have a traffic point?,Understanding how Much Traffic Points Cost
Isn't the DMV charge included in the DRA charge?,"No, the DRA and DMV charge are separate charges.",yes,
What if I have an insurance problem and the inquiry letter does not resolve it?,"In that case, we have to suspend the vehicle registration and, if the problem persists, your license.",I will have to pay a fine,"We send 500,000 inquiry letters a year."
"Hello, I recently moved with my family and I forgot to Update my address. I read an article about the Top 5 DMV mistakes people do, and figured out it'd be a problem if I don't update it. What can I do?","Hello. First, you have to report a change of address to DMV within ten days of having moved, for both the address associated with your license and all the addresses associated with each vehicle you have. ",I can do this by going to the DMV and getting a copy of the DMV's website.,Forgetting to Update Address
It's been 2 weeks since I moved. What are the consequences of not having updated my address within those ten days?,You will be charged with operating an unregistered vehicle and/or aggravated unlicensed operation.,I will be suspended,"If you fail to keep your address current , you will miss a suspension order and may be"
"Ok. I'll pay the charges.I have another question: I'm planning on leaving the state next month, what  are the steps I should take? I don't want to leave the state without notifying DMV","Well, you need to know that States communicate with each other, so if you leave the state without notifying DMV will be aware of that. Before leaving the state, make sure to resolve any unaswered tickets, suspensions or revocations. 
You also have to surrender your license(s) plate(s) to NYS when you get to the new state. ","I'm planning on leaving the state next month, what are the steps I should take?",Leaving the State Without Notifying DMV
Ok. I suppose I have to get a new car insurance in the new state. What happens if by accident I let the insurance lapse?,DMV will suspend your registration and license. ,I will be charged for the new car insurance.,possible mail correspondence can reach you.
"Let's say I get to a new state, I register my vehicle, get my car insurance and all that stuff but my coverage is dropped for any reason. What would DMV do in that case? ","We would send you an inquiry letter to allow you to clear up the problem. We send 500000 inquiry letters a year, so that's covered. ",send an insurance inquiry letter,If the inquiry letter does not resolve
"Hi , I forget to update my adress. And What will happen now.?","You must inform your adrees change to DMV in ten days. If you are in ten days, please hurry.",I will be unable to update my address.,Forgetting to Update Address
"If I don't, is there any serious problem for me?","Yes , in thşs case you can miss a suspensin order, and so you can continue to drive an unregistered vehicle",Yes,
Is it useless to inform the police officer about the situation?,No it is not sufficient. You must do more.,no,
I didn't know that adress is so important.Is there any other matter where the address is important?,Yes There are lots of section about adress. For instance we mail insurance problems to your address.,Yes,
Insurance problems? Like what. Can you explain more?,"New York State wants every motorist to maintain auto insurance , and we watch your insurance status electronically",a drop in coverage,"We send 500,000 inquiry letters a year."
What happens if my insurance lapses?,"Because we all pay indirectly for crashes involving uninsured motorists, New York State requires every motorist to maintain auto insurance every single day a vehicle is registered. DMV works with insurance companies to electronically monitor your insurance coverage",I will not receive mail correspondence,possible mail correspondence can reach you.
What happens if I forget to update my address?,"You must report a change of address to DMV within ten days of moving. That is the case for the address associated with your license , as well as all the addresses associated with each registered vehicle , which may differ",I will be charged for the wrong address,Forgetting to Update Address
What happens if I forget to update my current address?,"You will miss a suspension order and may be charged with operating an unregistered vehicle and/or aggravated unlicensed operation , both misdemeanors.",I will be charged for the change,Forgetting to Update Address
What happens if I have more questions after receiving the inquiry letter?,We will suspend the vehicle registration,I will turn in my plates,"Also , turning in your plates is important to avoid an insurance lapse."
What happens if I fail to update my address?,"You will miss a suspension order and may be charged with operating an unregistered vehicle and/or aggravated unlicensed operation , both misdemeanors. This really happens but the good news is this is a problem that is easily avoidable",I will be charged for the wrong address,Forgetting to Update Address
What happens if my insurance runs out?,"Because we all pay indirectly for crashes involving uninsured motorists, New York State requires every motorist to maintain auto insurance every single day a vehicle is registered. DMV works with insurance companies to electronically monitor your insurance coverage",I will have to pay for the plates,"Also , turning in your plates is important to avoid an insurance lapse."
I just moved.  How long do I have to update my address?,You have 10 days to update your address.,ten days,"By statute , you must report a change of address to DMV within ten days of moving."
Are there costs associated with traffic points?,"Yes, the DRA charge is based on the number of points you have accumulated.",yes,Understanding how Much Traffic Points Cost
Are there any common mistakes people make with the DMV?,"Yes, there are several common issues people have that could have been easily fixed beforehand.",many DMV customers make easily avoidable mistakes,"Many DMV customers make easily avoidable mistakes that cause them significant problems, including encounters with law enforcement and impounded vehicles."
Are there consequences for simple mistakes?,"Yes, anything up to an impounded vehicle or encounters with law enforcement officers.",yes,
What happens if my insurance lapses?,Your license and registration will be suspended.,I will not receive mail correspondence,possible mail correspondence can reach you.
"Will that happen automatically, or will I get a chance to reinstate my coverage first?","You will be sent an inquiry letter first, then if it isn't resolved your registration will be suspended.",will I get a chance to reinstate my coverage first,"We send 500,000 inquiry letters a year."
Can I know if anybody asked for my records?,"Yes, since the records of searches are public we'll inform any motorist if his records were searched.",Yes,Yes.
it looks like my browser is not compatible with your website.,"You should visit https://encryption.ny.gov/ to check the compatibility of your website and if it says that is not compatible, please update your browser.",no,
I need to contact DMV about my dial-in search account,"Our contact address for that is NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228 473 - 2137e - mail",Yes,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
"Sorry, it looks like my chat didn't show your message well, can you please how to tell me how to contact DMV about my dial-in search account.","ok our mail address for dial-in search account related problems is NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228 473 - 2137",No problem. Is there anything else I can help you with?,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
What should I do if your site says my browser is not compatible?.,"First, you should update your browser to its newest version available.",Update it to the newest version,"If your browser is not currently compatible , please update it to the newest version."
What info can you give me about those that search for my DMV records?,"We can supply you with the name and business address of the Dial-In account holder and the time, date and search criteria they used for the records.",name and business address,"If a motorist asks the DMV if his records were searched , the DMV supplies him with the name and business address of the DIAL - IN account holder , and the time, date and search criteria used to search for the records."
"Just to check the address of contact is correct please tell me if this is the right one: NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228 473 - 2137","Yes, that's correct.",Yes,
I need to know if DMV could contact me regarding my dial-in searches I do with my dial-in search account.,"Yes, DMV can ask you about your dial-in searches. We do this to monitor compliance with the DIAL-IN Terms of Service.",Yes,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
What about if I didn't perform the search I'm asked about?,"If you or any of the known users performed the search, you should contact us immediately. You have to respond to our inquiry about the dial-in search or your search privileges will be suspended until you respond.",You must respond to the inquiry whether or not you have business records that support your search. Your response will be considered an incomplete reply if you do not give us the business records.,You must respond to the inquiry whether or not you have business records that support your search.
What kind of documents or business records can I use to document my searches,"Some examples are invoices, retainer agreements, consent forms, and surveillance reports, among other types of records. You should maintain these records to comply with our terms of service.",documents or business records,What business records must I keep to document the searches I perform?
How much should I pay for the dial-in search account fees?,The first deposit have to be enough to pay for two months of searches.,You should pay the fees in cash.,How do I pay DIAL-IN Search Account fees?
What is the contact address for problems related to my dial-in search account?,"you can mail the DMV to NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228 473 - 2137",DMV,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
Can a motorist know if I searched his records using the dial-in search account?,"Yes, we will if asked. All the records of searches are public.",Yes,Yes.
What info would the motorist get when asking if his records were searched?,"As I mentioned before, all the search records are public records.",name and business address of the DIAL - IN account holder,We do not disclose the DIAL - IN account numbers of the account holder that performed the search.
Are your security protocols strong enough to protect the data?,Our security protocols are being upgraded to ensure the protection of your data.,We are upgrading our security protocols to better protect your data.,"Note on browser compatibility 
We are upgrading our security protocols to better protect your data."
Would the upgrading of the security protocols affect the compatibility of my browser?,"Due to the upgrading of our security protocols, you should make sure your browser is compatible.",Yes,
What kind of clients usually use the dial-in search account service?,"The most common clients are attorneys, security personnel, insurance and private investigators and process servers.","attorneys, insurance and private investigators, process servers and building / site security personnel","Our typical clients include attorneys, insurance and private investigators, process servers and building / site security personnel."
How can I verify if my browser is compatible?,"You can visit https://encryption.ny.gov/ , there you will be informed if your browser is incompatible.",Visit https://encryption.ny.gov/ [6].,"To verify your browser is compatible to continue using any of the state's government websites , please visit https://encryption.ny.gov/ [6]."
Can you tell me about browser compatibility?,You should know that we are improving our security protocols to better protect your data.,"We are upgrading our security protocols to better protect your data. To verify your browser is compatible to continue using any of the state's government websites, please visit https://encryption.ny.gov/ [6]. If your browser is not currently compatible, please update it to the newest version.","To verify your browser is compatible to continue using any of the state's government websites , please visit https://encryption.ny.gov/ [6]."
Can you give me an address for dial-in search account consultations?,"You can mail DMV at NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228 473 - 2137",212-853-7234,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
how many digits is the account number?,You'll be sent a seven-digit account number that will never change.,seven,Your seven - digit account number will never change.
What can I do if my browser is not compatible?,You should update your browser to its latest version.,update it to the newest version,"If your browser is not currently compatible , please update it to the newest version."
I need to check my browser compatibility.,To check for your browser compatibility yo should visit https://encryption.ny.gov/,"Yes, I need to verify my browser is compatible to continue using any of the state's government websites.","To verify your browser is compatible to continue using any of the state's government websites , please visit https://encryption.ny.gov/ [6]."
Why would DMV ask me about my searches?,We need to verify the compliance of the dial-in Terms of Service.,I want to make sure I'm getting the best results,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
Would the dial-in search account service be useful for an attorney?,"Yes, attorneys are among our most common clients.",No,Are there fees for using a DIAL-IN search account?
tell me about the dial-in search account website and browser compatibility,"About the website, we can assure you that your data is safe thanks to our upgraded security protocols.",no,Are there fees for using a DIAL-IN search account?
Can you give me a mailing address to contact the DMV about my dial-in search account?,"the DMV contact address is NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228 473 - 2137",212-853-7234,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
where should I send the form for applying for an account?,"you should send the form to Data Services - New Search AccountNYS Department of Motor Vehicles6 Empire State PlazaAlbany , NY 12228","Data Services - New Search AccountNYS Department of Motor Vehicles6 Empire State PlazaAlbany, NY 12228","Send the form to : Data Services - New Search AccountNYS Department of Motor Vehicles6 Empire State PlazaAlbany, NY 12228"
The website says that my browser is not compatible.,We recommend you update your browser to its latest version.,No,
How can I verify my browser compatibility?,You can verify your browser compatibility by visiting https://encryption.ny.gov/,Visit https://encryption.ny.gov/ [6].,"To verify your browser is compatible to continue using any of the state's government websites , please visit https://encryption.ny.gov/ [6]."
How should I pay for my dial-in account fees?,Customers must include a deposit with the application and the first deposit should be enough to pay for the first 2 months of searches.,You can pay for your dial-in account by credit card or cash.,How do I pay DIAL-IN Search Account fees?
Can you repeat the address where I should send the form?,"Yes, the address is Data Services - New Search AccountNYS Department of Motor Vehicles6 Empire State PlazaAlbany , NY 12228","Yes, please.",The instructions are on the form.
"Hi, I'm constantly searching DMV records for driver license, registration and insurance information. So I thought I'd get a DIAL-IN search account, but I need to fill the form MV-15D. I've been trying to get the form on the website but it's seems the website is down, or maybe my browser is not compatible. Could you assist me with that? ","We are currently upgrading our security protocols to better protect your data, so the platform has been down recently, but right now the website if available. If you want to check whether your browser is compatible, visit https://encryption.ny.gov/.",MV-15D,
"Thanks, I checked and my browser it's not compatible, what should I do now?",Upgrade your browser to the latest version. ,Update it to the newest version,"If your browser is not currently compatible , please update it to the newest version."
"Done, so now to re-verify whether is compatible should I go to the same link?","Absolutely, visit https://encryption.ny.govc to verify again. ",Yes,
"Thanks, I already got in, but I can't seem to download the form. How can I contact DMV about this? I need to get that Dial-in search acount asap.","You can contact DMV at: NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228 473 - 2137 dmvaccounts@gmail.com",I can help you with that.,"If you performed the search on behalf of a client , you"
Thanks! But why can't I download the form? Does it have anything to do with the new security? ,"Yes, we upgraded our security for better protection of the data. So, now you can't download any form as you usually did, to request a form you have to contact DMV.",Yes,
Can I visit the page with mi phone? ,"Yes, most of smart phones have compatible browsers. Visit https://encryption.ny.gov/ to check that. ",Yes,
"I've searched a motorist's records, will he know I did it?","Yes, he will be informed as search records are public records.",Yes,Yes.
"I had to pay a fee for using DIAL-IN search account, why?","According to the NYS Vehicle and Traffic Law, we must charge a fee to search DMV records.  It is a legal step that must be met by private persons, commercial organizations and not-for-profit organizations.",DIAL-IN search account is a free service,Are there fees for using a DIAL-IN search account?
"I have filled out and submitted the Motor Vehicle Record Search Account Application MV-15D form, how do I know if it was accepted?","If your application is complete, we will create an account and send you the number and password. The account is made up of a 7-digit number that will never change.",It will be reviewed by the NYS Department of Motor Vehicles.,"Send the form to : Data Services - New Search AccountNYS Department of Motor Vehicles6 Empire State PlazaAlbany, NY 12228"
"I have forgotten my Dial-in Search Account data, what should I do?","To solve your problem with your Dial-in Search Account, you must contact us at: NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228.",I will need to contact the DMV.,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
"I understood that records of searches are private, is this true?","No, records of searches are public records.",no,
"Hey, i'm having some issues with your site not opening in my browser?",We are currently going through upgrade for our security protocols in order to offer you a better data protection.,No,
"Oh, i see. Yeah, tought you could be doing any of that, but wanted to be sure. Anyway, i wanted to go on some records searching, there is any fee involved if i use a Dial-In search?","Indeed, you have to pay a fee for search DMV records. Whether you are a private person, an commercial organization or an NGO, there is a fee for using that service, according to law.",Yes,Are there fees for using a DIAL-IN search account?
Thanks. Can i pay that fee with my credit card?,"No, sorry, but at the moment DMV isn't accepting any payments with credit cards.",No,
"Um, ok. Now back with browser issue, what about if i'm still having problems with your page after being updated?","In case that occurs, just update you browser to its newer version and try accessing once again.",I'm not sure.,"If your browser is not currently compatible , please update it to the newest version."
"I'll do that, thanks. One more question, if i request some searches being delivered to me via mail-order, do i need to pay  for them in which way, please?","In that case, you can use you account balance to make the corresponding payment for those mail-order searches.",deposit,Paying customers must include a deposit with the application.
I would like to know about DIAL-IN search account and can i get one?,"DIAL-IN is a service provided to search regularly records that DMV has on driver license, registration, vehicle title or insurance information. If you need this service, then you can get one.",Yes,Are there fees for using a DIAL-IN search account?
Do I need to check browser compability for DMV Dial-in Search Account?,"Yes. Since our security protocols are currently updating, You need to make sure that your browser is compatible to use any of the state's government websites.",Yes,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
Can you give me some examples of business records that I must keep in order to document the searches?,"Yes. Just update it. Examples of business records to keep can be invoices, retainer agreements and accident reports. These documents can be any kinds of document to justify the reason you perform your searches.",a business card,What business records must I keep to document the searches I perform?
May i know how to contact you guys for my Dial-in Search Account?,"There are few ways to contact us. You can always come to our physical location at NYS DMV DIAL - IN Accounts Room 2316 Empire State Plaza, Albany , NY 12228. You can also email us at [ email protected ] [ 5 ] .",yes,Will DMV contact me about the searches I perform using my DIAL-IN Search Account?
How do i pay for the searches that i have done?,We would subtract the fee from the balance in your account.,You can pay for the searches that you have done by using the DIAL-IN Search Account Fees.,How do I pay DIAL-IN Search Account fees?
Does security protocols update relates to browser compatibility?,"Yes. In order to better protect your data, we need to update it. Updating the security protocols means that latest version of browser is needed to enable the updates to be executed.",Yes,
will you tell a motorist if i search their records?,yes. records of searches are public records,yes,
Can you tell me how I will know if my application has been accepted?,"Sure, we will have to review your application first.","We will review your application. If you application is not complete, we will return your application with an explanation that will give you more instructions. If your application is complete, we will create an account for you. We will send you your account number and password.","If you application is not complete , we will return your application with an explanation that will give you more instructions."
Can I use insurance documents from other states?,We can't accept any out-of-state vehicle insurance coverage of any kind.,Yes,Out-of-state insurance documents
My vehicle was registered in New York. what insurance should I use?,All vehicles registered in New York must have New York State auto liability insurance coverage.,New York State issued automobile liability insurance,To register a vehicle in New York State you must have New York State issued automobile liability insurance coverage.
"I own a motorcycle, do I need to get insurance for it?",If you're going to use your motorcycle on any public road or highway you must have insurance coverage. Motorcycle registrations are only valid for one year and expire on April 30.,no,Do I need insurance to register my vehicle?
What if I use my motorcycle only on the outskirts of the city?,Any public road counts so you have to get insurance coverage.,A change on the insurance policy to a name different from the name on your registration may cause a lapse in insurance coverage,"A change on the insurance policy to a name different from the name on your registration may cause a lapse in insurance coverage , and DMV may suspend your driver license and your vehicle registration."
With how many names can I register a vehicle?,"There're only 1 or 2 names allowed on a registration registrant. Both, the primary registrant and the co-registrant must sign the vehicle registration and provide proof of identity and date of birth.",1 or 2,"More than 2 names on a vehicle registration 
There can only be 1 or 2 names on a registration registrants."
What out of state insurance documents can I give to DMV?,We can't accept any out of state insurance documents of any type.,a copy of the state's insurance policy,Out-of-state insurance documents
What can I do to get an acceptable insurance if my vehicle is registered in New York?,"Since we will not accept any out of state insurance documents, your vehicle must have New York State auto liability insurance coverage.",You can apply for a car insurance policy.,Do I need insurance?
"So, since my vehicle is registered in New York, does that mean that I have to get a New York-based insurance?","Yes, your vehicle must have New York State auto liability insurance coverage.",Yes,Yes.
Do I need to have insurance coverage for a motorcycle?,"Yes, if you are going to use your motorcycle on a public road or highway, you must have insurance coverage.",No,Do I need insurance to register my vehicle?
What should I take into consideration for my liability insurance coverage?,"Your liability insurance coverage must remain in effect for as long as your registration is valid, there are exceptions for motorcycles.",I need to be covered for the following things:,What kind of insurance do I need?
Do I need to get insurance to register a vehicle in New York State?,"Yes. In order to register your vehicle in New York State, you need to have New York State issued automobile liability insurance coverage.",Yes,Yes.
for how long should the liability insurance coverage remain in effect?,As long as the registration of your vehicle remains valid.,while the registration is valid,"The minimum amount of liability coverage is $ 10,000 for property damage for a single accident $ 25,000 for bodily injury and $50,000 for death for a person involved in an accident $ 50,000 for bodily injury and $100,000 for death for two or more people in an accident Your liability insurance coverage must while the registration is valid, even if you don t use the vehicle there are exceptions for motorcycles 1 remain in"
Does this apply for motorcycles too?,There are some exceptions for motorcycles.,yes,
"Regarding the name on my vehicle registration application and the one on the Insurance Identification Card, do they need to be the same?","yes, the names must match in both documents.",Yes.,Yes.
Can I submit copies or faxes of my Insurance identification card to the DMV?,"yes, you can. But take into consideration that the card will be rejected if the DMV barcode reader can not scan the barcode.",Yes.,Yes.
Do I have to get insurance to register my vehicle?,"Yes, you have to. DMV requires auto liability insurance to be able to register a vehicle in New York.",Yes,Do I need insurance to register my vehicle?
"I have a vehicle registered in New York, where should I get the insurance.","for vehicles registered in New York, you have to get a New York State auto liability insurance coverage.",New York State,To register a vehicle in New York State you must have New York State issued automobile liability insurance coverage.
Should the copy of my Insurance Identification Card be perfectly legible?,Yes. The DMV will not accept a card if our barcode reader can't read the barcode.,Yes. The DMV will not accept a card if the barcode reader cannot read scan the barcode.,"However , the DMV will not accept a card if the DMV barcode reader cannot read scan the barcode."
Should I get insurance for a motorcycle?,"Yes. If you plan to ride your motorcycle on any public road or highway, you must have insurance coverage.",No,What kind of insurance do I need?
So can I use a copy or fax of my Insurance Identification Card to give it to the DMV?,"We do accept copies and faxes of Insurance identification cards, just make sure that the barcode is perfectly legible or it will get rejected if the DMV barcode reader can't scan it.",Yes.,Yes.
I need to know if I have to get insurance to register my vehicle.,"Yes, this is a requirement to register a vehicle in New York, you have to have auto liability insurance.",Yes,Do I need insurance to register my vehicle?
Will the DMV accept a fax of my Insurance identification card?,"Yes, but make sure it's clearly legible. If the DMV barcode reader can't scan the barcode your card will be rejected.",Yes.,Yes.
How much last the registration for a motorcycle?,It lasts for 1 year.,one year,"Unlike most other motor vehicles, motorcycles are registered for one year rather than two , and all motorcycle registrations expire on April 30."
Do the names on my vehicle registration application and insurance identification card have to match?,"Yes, the names must be the same in both documents.",Yes. Your insurance cards must have the same name as the name on your vehicle registration application.,Your insurance cards must have the same name as the name on your vehicle registration application.
will the insurance company give insurance proof after getting the insurance?,"yes, the insurance company will issue proof of insurance in two ways.",yes,
"In order for me to register my vehicle, do I have to have an insurance policy in place on that vehicle","For you to register a vehicle in New York, it is a requirement of the DMV that you have auto liability insuranc ",yes,Do I need insurance to register my vehicle?
I have a question in relation to my vehicle registration application. Does my name on that application form have to match my Insurance Identification Card,"Yes, your name as it appears on your insurance card must match the name that appears on your vehicle registration application",Yes. Your insurance cards must have the same name as the name on your vehicle registration application.,Your insurance cards must have the same name as the name on your vehicle registration application.
Are there any restrictions in place regarding out-of-state insurance and what are the implications of not having these in order,"You cannot drive your motorcycle on public highways without having insurance in place. If your name differs from your insurance to your registration, your insurance coverage may lapse and become invalid, which could result in the DMV suspending your driver license and registration ",No,Out-of-state insurance documents
I will have a problem in providing my original Insurance Identification Card. Will the DMV be able to accept a copy or a fax?,"Once the DMV barcode reader can read scan the barcode on your Insurance Identification Card, this will be acceptable",a copy,"However , the DMV will not accept a card if the DMV barcode reader cannot read scan the barcode."
What type of policy do I need to have in place before I can register a vehicle?,Auto insurance liability is a pre-requisite before you can register a vehicle in New York,(iii).,Do I need insurance to register my vehicle?
Do I need insurance to register my car?,Yes. New York law requires that you have auto liability insurance coverage.,Yes,Do I need insurance to register my vehicle?
What happens if I forget to maintain my insurance?,Unfortunately you will be without registration and without a driver's license because the DMV will suspend both.,I will be fined.,Do I need insurance to register my vehicle?
Can I submit a copy of my Insurance Identification Card to DMV or should it only be the original document?,"You can submit a copy or even a fax as long as the DMV barcode reader can read and scan the barcode, otherwise, the DMV will not accept your card.",Original document,
What do I do to register my vehicle if I already have my insurance?,"Once you have your insurance, the insurance company must show proof of insurance.",I will need to pay a fee to get my vehicle registered.,Do I need insurance to register my vehicle?
