question,answer,model_answer,ref,retrived_doc,doc_id,dial_id
What forms of payment would be accepted if I went to the DMV? ,"If you went to the DMV, you could pay by check or money order or you could pay using an American Express card, Discover card, MasterCard, MasterCard debit card, VISA Card, or Visa debit card. ",credit / debit card or a check or money order made out to Commissioner of Motor Vehicle,"[{'sp_id': '78', 'label': 'solution'}]","The fee is $17.50. If you apply by mail or at a DMV office , you can pay by credit / debit card or a check or money order made out to Commissioner of Motor Vehicles. To apply online , you must use a credit / debit card. The DMV accepts : American Express Card Discover Card /Novus MasterCard MasterCard Debit card without personal identification number PIN VISA Card Visa Debit Card without personal identification number PIN If you want the fee waived for a license or permit lost due to a crime ,",Replace license or permit#1_0,0900dc4d8dd22fea23ddc5a84b0dfcb8
What If I don't have one of these required documents?,You must provide other kinds of proof of both identity and age.,I will have to wait for the correct documents to arrive.,"[{'sp_id': '34', 'label': 'solution'}]","What do I need to bring to the DMV? 
Before visiting a DMV office [2] to register your moped , please complete the Document Guide to make sure you bring the correct documents with you. Find your proofs [3 ]",Register a moped#1_0,d0fa6ca005385a63f9a479bc2e5e5865
Yes,"If you want to register your vehicle in another state, you must deliver your vehicle registration and license plates to the New York DMV",Yes,"[{'sp_id': '3', 'label': 'solution'}]","Please send us a copy of your out of state registration in your name along with a copy of your out of state insurance if available to : NYS Department of Motor Vehicles Financial Security Bureau PO BOX 2725 Albany NY 12220 - 0725 All proof must include the name and address of the registrant, and the year, make and vehicle identification number VIN of the vehicle. We will apply your proof to the NY record to reduce or clear a lapse of insurance coverage reported by your insurance company.",Moving out of New York State#3_0,e24a6a060942ea9e6942ba136d1243a1
I have one and don't know where the other one is,"You need to send in the plate and your old cab card within 30 days after you receive your new apportioned plates. Failure to return your license plates can result in suspension of your IRB account. The IRB will issue new apportioned plates that have a different number, along with a new matching cab card.",MV-78B,"[{'sp_id': '48', 'label': 'solution'}, {'sp_id': '49', 'label': 'solution'}, {'sp_id': '50', 'label': 'solution'}]","complete and sign Schedule A & C pdf [2] in Part 1 , , check the box or boxes for "" DUPLICATE CAB CARD "" and/or "" REPLACEMENT PLATE "" and or "" REPLACEMENT STICKER "" complete the Carrier and Fleet Information section along with Part 4 of the form , send a check or money order payable to the Commissioner of Motor Vehicles for the correct amount. If both apportioned plates are lost or stolen , get form Report of Lost or Stolen Motor Vehicle Items MV-78B from a police agency 1 If you are using the",Replace IRP registration items#1_0,df9a64ed60ea5fc9c00e360f2ed9567c
I'm here because of the graduated license law,"Okay, in addition to the learner permit restrictions that apply to everyone, the Graduated License Law places restrictions on drivers under 18 years of age who have a junior learner permit or junior driver license.   ",It is not possible to tell,"[{'sp_id': '2', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}]",The Graduated License Law and Restrictions for Drivers under 18[1],The Graduated License Law and Restrictions for Drivers under 18#1_0,a1889cf09444e1af0f8a11d149d7c6ea
"Hello there, I have some questions that I need you to answer for me.",Of course. Do you have questions about the course?,What is the best way to get a job?,"[{'sp_id': '10', 'label': 'precondition'}]",QUESTIONS AND ANSWERS ABOUT...,Point & Insurance Reduction Program#3_0,e840c3f90dd460ffe59b146cefa5d168
how do i add a user?,to get an additional user ID. does this apply to you?,(iv),"[{'sp_id': '8', 'label': 'precondition'}]",How do I add a user?,Adding and removing users#3_0,bca936877740e89dd9afbc414fc7d74f
What happens if I don't pay the assessment?,"Your driver license may be suspended if you don't pay, but it will be removed once your payment is processed.","DMV will suspend your driver license, your learner permit, or your driving privileges","[{'sp_id': '44', 'label': 'solution'}]","What happens if I do not pay? 
If you do not pay the driver responsibility assessment by the payment date on your statement , DMV will suspend your driver license, your learner permit, or your driving privileges.",Pay driver responsibility assessment#1_0,27f5627eeda73f6df25a5df6a900de6a
and what is the cost of the plates?,Our image and our professional dishes have a variety of prices. You can explore the styles available using the categories above to find detailed pricing information on the plate that interests you.,[12] pay a one - time plate exchange fee of $28.75,"[{'sp_id': '17', 'label': 'solution'}, {'sp_id': '18', 'label': 'solution'}]","Standard series plates to replace picture or professional plates 
To exchange custom plates for standard series plates complete a Vehicle Registration / Title Application pdf [11] MV-82 bring the form, the plates and your NY State Driver License to a DMV office [12 ] pay a one - time plate exchange fee of $28.75 , and surrender your plates We will then issue your vehicle a set of standard series plates.",Learn about picture and professional plates#3_0,045f26ea15024fdeff055e3348d2760b
"Hello there. Can you walk me through the process of ordering picture plates, please?","Of course. You can order picture or professional plates for passenger vehicles, commercial vehicles and motorcycles.","You can order many picture plates online, see the list above for more information on how to order","[{'sp_id': '2', 'label': 'solution'}]","You can order many picture plates online, see the list above for more information on how to order a plate. If you wish to purchase plates for people with disabilities that have the Universal Symbol of Access , you must contact the Custom Plates Unit. All professional and military / veteran plates, and some organization picture plates require you to provide proof or certification that you are eligible. These plates must be ordered through the organization or the Custom Plates Unit. To order",Order picture and professional plates#1_0,338eaf55469ceca6698d471aa9c36565
How long it lasts the pre-licensing course certificate?,"The pre-licensing course certificate lasts for 1 year from the date it is issued, and the student certificate of completion lasts for two years.",it lasts,"[{'sp_id': '29', 'label': 'solution'}, {'sp_id': '30', 'label': 'solution'}]",For how long will my Pre-licensing Course Certificate be valid?,Prepare for your road test#3_0,b18f218bec7f459425cc40aa3da772a3
how can a hearing end if it comes to that?,"There may be no action, a warning, the imposition of a suspension, revocation, and/or civil penalties.",If the waiver is accepted,"[{'sp_id': '38', 'label': 'solution'}, {'sp_id': '39', 'label': 'solution'}]","The AFI will conduct a formal investigation. The result may be no action, a warning letter Notice of Investigation placed in your file, or a formal administrative hearing before an Administrative Law Judge ALJ. When Vehicle Safety initiates the hearing process , you may be offered the opportunity through a "" hearing waiver "" to admit to the charges and to either pay a specified monetary penalty and/or to accept a suspension. If the waiver is accepted , no hearing is required. If the offer is",About complaints and charges for dealer and transporter businesses#3_0,2694371df1bba15175a569003a9253d7
Do diesel vehicles need inspecting?,"Yes, non-exempt diesel vehicles need to be inspected.",yes,"[{'sp_id': '1', 'label': 'solution'}, {'sp_id': '2', 'label': 'solution'}]",Vehicles subject to diesel emissions inspection,Diesel inspections emission testing#3_0,97809b3e4c67e77693a6fb0b7b14e407
"Wow, is good to know that. Oh, what about if  i get robbed my license, can i get a replacement?","Well, in fact you can get a free replacement. You must go to a police agency, and ask for the form MV-78B. I must remark that you will only get that form from police, not from DMV.","Yes, you can replace your license or permit including commercial and enhanced if it was lost,","[{'sp_id': '122', 'label': 'solution'}, {'sp_id': '123', 'label': 'solution'}]","Replace license or permit[1] 
You can replace your license or permit including commercial and enhanced if it was lost, stolen or destroyed, or after you update your address. You can't replace your document if it is expired. If you are turning 21 soon , order within 40 days of your birthday. 

If you plan on traveling 
We recommend you come to the DMV now to get an Enhanced or REAL ID, and avoid a second office visit later. 2 Learn about Enhanced, REAL ID and Standard documents [2].",Replace license or permit#1_0,685918a1530308ea365fd317166febcc
"If I apply for a replacement title certificate at the DMV office, can they issue the certificate to me there and then?","You cannot get the replacement title certificate issued to you in the DMV office, all replacement certificates are printed in a secure facility and are mailed to the owners. The quickest and easiest way to apply for a replacement certificate is to apply online",no,"[{'sp_id': '64', 'label': 'solution'}, {'sp_id': '65', 'label': 'solution'}, {'sp_id': '67', 'label': 'solution'}]","Replace a title certificate[1] 
When you apply for a replacement title at a DMV office , we will NOT hand you a new title while you are there. We print all title certificates in a secure facility in Albany and mail them to the vehicle owner.",Replace a title certificate#1_0,79b9162e7b53473de410b74cd342aae2
"And while we're at it, can you tell me what the difference between a junior learner permit and a junior driver license is?",Of course. A junior learner permit allows a young driver to drive only while supervised.,a junior learner permit allows a young driver to drive only while supervised,"[{'sp_id': '16', 'label': 'solution'}]","What is the difference between junior learner permit or a junior driver license? 
a junior learner permit allows a young driver to drive only while supervised depending on the region in which you are driving , a junior driver license , may allow a young driver to drive unsupervised with certain restrictions.",The Graduated License Law and Restrictions for Drivers under 18#1_0,fccbf2ef00974a100cb6eab6c84bbd58
I'm interested in personalized plates.,Would you like to know about personalized plates?,"Yes, I'm interested in personalized plates.","[{'sp_id': '2', 'label': 'precondition'}]",Order personalized plates[1],Order personalized plates#1_0,a0c56bd43e56587ffcea8d8aed234463
How do I know if I have a non scofflaws?,you can find  The type of sanction imposed suspension or revocation which results from reasons other than failure to answer a summons or pay a fine / surcharge / assessment,the type of sanction imposed suspension or revocation which results from reasons other than failure,"[{'sp_id': '88', 'label': 'solution'}, {'sp_id': '89', 'label': 'solution'}, {'sp_id': '90', 'label': 'solution'}]","On the "" Lifetime "" driving record , the "" Suspensions and Revocations "" section is divided into two sub - sections, "" Non - Scofflaws "" and "" Scofflaws "". Non - scofflaws and Scofflaws will be listed separately, in order by effective date, from newest to oldest. For out of state courts , the court s address and phone number are recorded as provided by the issuing jurisdiction. Non - scofflaws : The type of sanction imposed suspension or revocation which results from reasons other than failure",Lifetime driving records#3_0,2e3fc5b66f4263c072e9ac93bdacc7ca
how are the written tests, study the NY State Driver 's Manual and take the practice tests,they are multiple choice,"[{'sp_id': '7', 'label': 'solution'}]",Step 1: Be prepared to take the written permit test,Get a learner permit#1_0,21be972b2011a7078f450d549d48e89b
What should the owner do with the application?,The owner should mail the application.,(iii),"[{'sp_id': '48', 'label': 'solution'}]","Test once. If you do not pass these tests , you will have to submit a new application [4] including photos and $10 fee.",Become a driving school instructor#3_0,247a7075c9287d73935aee56811a94bd
What about my driving license abstract?,"A standard ones should only contains information that is still required to keep by the DMV. Meanwhile, only 4 years records of most recent suspensions and revocations are shown on a standard driving record abstract.",yes,"[{'sp_id': '7', 'label': 'solution'}]",What if the information on my driving record abstract is wrong?,Lifetime driving records#3_0,a4967881b1078c52fd0c47ec3b4f4d7a
What do I do if I also have an Inspectation Station License?,please see Inspection Station Cap Information,Inspection Station Cap Information [3],"[{'sp_id': '21', 'label': 'solution'}]","Certificate of Occupancy 
Repair shops must also provide a Certificate of Occupancy, local license or town letter as proof of zoning approval. If the new location was previously registered as a repair shop , please provide the Facility number or name of that shop. This may be accepted as proof of zoning. If you also have an Inspection Station License , please see Inspection Station Cap Information [3].",Amend or replace a business license for a repair or body shop#3_0,f249e2db0fda7508c6330e92b36b1b64
I need to contact DMV about my dial-in search account,"Our contact address for that is NYSDMV DIAL - IN AccountsRoom 2316 Empire State PlazaAlbany , NY 12228 473 - 2137e - mail",no,"[{'sp_id': '68', 'label': 'solution'}]",Will DMV contact me about the searches I perform using my DIAL-IN Search Account?,DIAL-IN search accounts#3_0,6ad62ea7a0a74030c0df7cd5be594e1f
"If the ATV is transferred by an individual, can it?","If the ATV is transferred by a private person, acceptable proof of ownership is a New York State or out-of-state transferable certificate of registration or title signed by the previous owner to transfer the property to which",no,"[{'sp_id': '52', 'label': 'solution'}]","transfer ownership to you If the current owner did not register the ATV , a transferrable registration and bill of sale that transferred ownership to the current owner , and a bill of sale that transfers ownership to you.",Register an ATV#1_0,b8f630b202df583d55ec965d6f503ff6
What additional requirements are required?,Do you need to know what additional requirements there are to apply for a new license after revocation?,suspension termination fee driver license civil penalty Driver Responsibility Assessment,"[{'sp_id': '165', 'label': 'precondition'}]","Additional fees and penalties 
If you owe any of the following fines or penalties , they must be paid before you can submit your request suspension termination fee driver license civil penalty Driver Responsibility Assessment If you begin to request approval online and owe additional fees or penalties , you will receive instructions for submitting payment. After you submit payment , you can complete your request for approval online. 

Additional requirements",Restore license after revocation#1_0,d7a9a49fa32d48bebe977a09b52af78e
What should I do to prepare to take the written permission test?,study the New York State Driver's Manual and take the practice tests,I should read the permit requirements and the test questions.,"[{'sp_id': '7', 'label': 'solution'}]",Step 1: Be prepared to take the written permit test,Get a learner permit#1_0,25fe12530d20af8f63f19017336e8e39
"My ID card is an Enhanced non-driver ID, is the cost the same?",the additional 30$ still applies to the renewal.,no,"[{'sp_id': '54', 'label': 'solution'}]","new non - driver ID card or the fees. If your non - driver ID is expired for 2 years or more , you must apply for an original non - driver ID card. See Get a non - driver ID card NDID [8]. Starting in October 2020 , you will need an Enhanced or REAL ID to board a domestic flight unless you have a passport. If your non - driver ID was issued before October 30 , 2017 and is not Enhanced , you have a Standard document. Newly issued Standard documents show :' NOT FOR FEDERAL PURPOSES'. If you want",Renew non-driver ID card#1_0,5d4478f731608602dfaaf504a2177c75
"Alright, I get that. What about visitors from other countries?",Do you have a driver license from another nation?,They are not allowed to stay in the country.,"[{'sp_id': '44', 'label': 'precondition'}]",Non-residents,Driving in New York State#3_0,c2327565d2af47c42b1fda5fee01e2d6
not,was the rape related to alcohol and drugs?,not,"[{'sp_id': '7', 'label': 'precondition'}]","Convictions for criminal negligence, homicide or assault 
The New York State DMV records the out - of - state convictions of any New York driver for criminal negligence, homicide, or assault, which arise out of the operation of a motor vehicle and which results in death. As a result of any of these convictions , your NY State Driver License will be revoked.",Tickets received in another state#3_0,29c606f9451cca3af0006d890a09c7fe
so if I sign up and my license is going to expire in the next week you will let me know I should get a new one?,"If your driver license is about to expire when you sign up, you may not get electronic reminders until the next time it is due. ",no,"[{'sp_id': '10', 'label': 'solution'}]","status of their medical certifications [3] and medical variances [4]. If your driver license, non - driver ID, registration, inspection, medical certification or medical variance is close to expiring when you sign up , you may not get electronic reminders until the next time it s due. Sign up to get email and/or text reminders online [5 ]",Get email and/or text reminders#1_0,497f228917e0263a67c5d293ff9c8bad
"What type of discharge form do I need if discharged before January 1, 1950?","You would need an Honorable Discharge form WD AGO 53, 55, 53-55, or NAVPERS 553, or NAVMC 78PD or NAVCG553, or Enlisted Seperation Paper.",a form DD-215,"[{'sp_id': '14', 'label': 'solution'}, {'sp_id': '15', 'label': 'solution'}]","Acceptable proofs are that indicates an honorable discharge a U.S. Department of Defense Form DD-214 that indicates an honorable discharge a form DD-215 if discharged before January 1,1950 , an Honorable Discharge form WD AGO 53, WD AGO 55, WD AGO 53 - 55, NAVPERS 553, NAVMC 78PD or NAVCG 553, or an "" Enlisted Separation Paper "" a Certification of Military Service NA FORM 13038 that indicates a discharge that is either "" honorable "" or "" under honorable conditions "" * If your license or permit",Veteran status designation on a photo document#3_0,fc22824ae3a98729dd985fbc4023ef26
Yes,"If you purchase the ATV from an out-of-the-state ATV dealer, acceptable proof of ownership may include a manufacturer's Certificate of Origin or a manufacturer's Declaration of Origin, and the dealer's bill of sale.",Yes,"[{'sp_id': '35', 'label': 'solution'}, {'sp_id': '36', 'label': 'solution'}, {'sp_id': '37', 'label': 'solution'}]","You can also show your proof of exemption or proof that the tax was paid. A NY State Driver License, Learner Permit, or Non - Driver ID card that is current or not expired for more than 2 years can serve as proof of identity. If you don t have one of these documents , you must provide other kinds of proof [9].",Register an ATV#1_0,b8f630b202df583d55ec965d6f503ff6
Alright. I can do this by mail?,Yes. You can order your vehicle or tittle record abstracts by mail using the request for DMV records mv-15.,Yes.,"[{'sp_id': '26', 'label': 'solution'}]","How do I get another person's records? 
You must submit a Request for DMV Records PDF [3] MV-15 and certify that you have a permissible use under the Driver's Privacy Protection Act DPPA to see the personal information of another person on DMV records. See Driver's Privacy Protection Act DPPA [4] for more information. 

Do it by mail: 
You can order your vehicle or title record abstracts by mail using the Request for DMV Records [3] MV-15. 

Show ""do it online"" button in megamenu:",Get a vehicle registration or title record (abstract)#1_0,6fb0f51b4e3990e92105dedeaeb0d83c
can you give me information about the Fees for a learner's permit and driver's license," The fee for your first New York State driver license or permit , or a new license or permit after a revocation , depends on your age when you apply and where you live",yes,"[{'sp_id': '2', 'label': 'solution'}, {'sp_id': '3', 'label': 'solution'}, {'sp_id': '4', 'label': 'solution'}]","Fees for a learner permit and driver license 
The fee for your first New York State driver license or permit, or a new license or permit after a revocation, depends on your age when you apply and where you live. The total fee includes the driver license application fee the fee for the type of license see driver license classes [1] for more info the document fees the Metropolitan Commuter Transportation District MCTD fee , if you live in the MCTD",Driver license and learner permit fees and refunds#3_0,1c1bcbb845fce506e23c41edda7dcefe
And where can I see the other penalities if I was convicted under Leandra's Law,You may Google or or look in this reference for Leandra's Law,The answer: the other penalties,"[{'sp_id': '11', 'label': 'solution'}]",What are the different parts of Leandra's Law and what are the penalties for conviction?,Leandra's Law & ignition interlock devices#3_0,3c09c725fe31191dbbb462bb9f8baf4a
What about if I didn't perform the search I'm asked about?,"If you or any of the known users performed the search, you should contact us immediately. You have to respond to our inquiry about the dial-in search or your search privileges will be suspended until you respond.",Your response will be considered an incomplete reply if you do not give us the business records.,"[{'sp_id': '56', 'label': 'solution'}, {'sp_id': '57', 'label': 'solution'}]","Yes , DMV may ask you about a DIAL - IN search you performed. We inquire about searches to monitor compliance with the DIAL - IN Terms of Service . You must respond to the inquiry whether or not you have business records that support your search. Your response will be considered an incomplete reply if you do not give us the business records. You can complete an inquiry at any time if you send us the requested acceptable business records. If you performed the search on behalf of a client , you",DIAL-IN search accounts#3_0,f37f2bd7ba6325cd54b73559e0989b89
How do I set up a hearing?,"First you will need to enter your ticket number and other required information online. Then,  verify that information.",Select a Not Guilty hearing date and time,"[{'sp_id': '79', 'label': 'solution'}, {'sp_id': '80', 'label': 'solution'}, {'sp_id': '81', 'label': 'solution'}]","the date of the hearing. After you select a Not Guilty hearing date and time , you can return to the transaction one time to select a different date and time if available. When you return to the transaction to check for other hearing dates and times : Enter the ticket number and the other required information in Step 1 Verify the information in Step 2 In Step 3 , look for the ticket under' Earlier Pleas of Not Guilty'Select' Check for Other Available Hearing Dates'. When you then select'",Plead to or pay TVB tickets#1_0,f5e88c9001cf3395e338c555652d283b
